species,freqsum
Geobacter sulfurreducens,0.0007379999999999999
Heliobacterium modesticaldum,0.000735
Coprothermobacter proteolyticus,0.00037799999999999997
Clostridium saccharoperbutylacetonicum,0.000404
Mycobacterium rhodesiae,0.0046370000000000005
Desulfitobacterium dehalogenans,0.000505
Thiobacillus denitrificans,0.008546000000000002
Burkholderia xenovorans,0.001179
Nocardia brasiliensis,0.000523
Nocardia farcinica,0.00038199999999999996
Leishmania braziliensis species complex,0.00464
Thermus scotoductus,0.0008220000000000001
Enterococcus casseliflavus,0.000368
Corynebacterium jeikeium,0.001276
Bartonella henselae,0.000549
Leishmania donovani species complex,0.0064399999999999995
Leishmania major species complex,0.005159
Methanococcus maripaludis,0.007817
[Eubacterium] cylindroides,0.0005400000000000001
Eubacterium eligens,0.00040500000000000003
Eubacterium rectale,0.014072000000000001
Eubacterium siraeum,0.002859
Methanosalsum zhilinae,0.000456
Thiomicrospira crunogena,0.32392
Sulfurimonas denitrificans,0.15893300000000002
Blattabacterium sp. (Mastotermes darwiniensis),0.007668
Erythrobacter litoralis,0.06482199999999999
Oligotropha carboxidovorans,0.000567
Aliivibrio salmonicida,0.014317
Stenotrophomonas maltophilia,0.003526
Ruminococcus bromii,0.0015099999999999996
[Ruminococcus] obeum,0.000953
Leptotrichia buccalis,0.00037400000000000004
Actinosynnema mirum,0.000426
Xenorhabdus bovienii,0.000754
Borrelia duttonii,0.000352
Candida dubliniensis,0.000733
Halobacteroides halobius,0.000497
Roseobacter litoralis,0.013918999999999997
Streptomyces collinus,0.00048
Corynebacterium argentoratense,0.000869
Ammonifex degensii,0.00036300000000000004
Methanococcus aeolicus,0.017447999999999998
Sulfolobus islandicus,0.010391
Butyrivibrio proteoclasticus,0.001317
Arthrobacter aurescens,0.0007459999999999999
Brachybacterium faecium,0.0006479999999999999
Jonesia denitrificans,0.000303
Rothia mucilaginosa,0.0005520000000000001
Metallosphaera sedula,0.004327999999999999
Rhodococcus equi,0.000653
Corynebacterium urealyticum,0.0012900000000000001
Tolumonas auensis,0.00065
Caldicellulosiruptor saccharolyticus,0.009267000000000001
Ferrimonas balearica,0.003748
Bradyrhizobium oligotrophicum,0.0013509999999999998
Borrelia recurrentis,0.000422
Sulfurospirillum barnesii,0.006833999999999999
Dictyostelium discoideum,0.008476999999999998
Natronobacterium gregoryi,0.0011150000000000003
Mycoplasma conjunctivae,0.000245
Desulfohalobium retbaense,0.0037610000000000005
Thermoanaerobacter wiegelii,0.00039600000000000003
Spirochaeta africana,0.0020249999999999995
Sphingobium chlorophenolicum,0.005301
Thermosipho melanesiensis,0.0039889999999999995
Cenarchaeum symbiosum,0.22435400000000003
Borrelia miyamotoi,0.000862
Lactobacillus rhamnosus,0.000726
Bibersteinia trehalosi,0.000794
Lactobacillus crispatus,0.000345
Micromonospora aurantiaca,0.00035699999999999995
Novosphingobium aromaticivorans,0.0031320000000000002
Candidatus Arthromitus sp. SFB-mouse,0.000905
Rubrobacter xylanophilus,0.032173999999999994
Desulfitobacterium hafniense,0.000311
Mycoplasma crocodyli,0.000225
Thermoplasma volcanium,0.001798
Syntrophobotulus glycolicus,0.0002630000000000001
Wigglesworthia glossinidia,0.008389
Haloarcula hispanica,0.0009760000000000001
Tetragenococcus halophilus,0.00029
Meiothermus silvanus,0.0018970000000000002
Prevotella dentalis,0.001078
Brachyspira pilosicoli,0.002023
Caldicellulosiruptor kristjanssonii,0.0017239999999999996
Caldicellulosiruptor lactoaceticus,0.0021439999999999996
Intrasporangium calvum,0.0021829999999999996
Hyphomicrobium denitrificans,0.001607
Nocardiopsis alba,0.000557
Nakamurella multipartita,0.0007390000000000001
Sulfobacillus acidophilus,0.013119
Acidimicrobium ferrooxidans,0.005235999999999999
Octadecabacter arcticus,0.22370500000000001
Pyrococcus horikoshii,0.009586000000000003
Methanoplanus petrolearius,0.000452
Hyperthermus butylicus,0.005194000000000001
Pyrolobus fumarii,0.0016789999999999995
Thermosphaera aggregans,0.001558
Ferroglobus placidus,0.012897999999999998
Raoultella ornithinolytica,0.000867
Chroococcidiopsis thermalis,0.000495
Pleurocapsa minor,0.00047900000000000004
Streptomyces venezuelae,0.0005290000000000001
Salmonella bongori,0.000878
Deinococcus proteolyticus,0.001407
Flavobacterium branchiophilum,0.04388499999999999
Caldicellulosiruptor owensensis,0.000375
Spirochaeta smaragdinae,0.0007019999999999999
Vibrio anguillarum,0.000779
Thermococcus barophilus,0.006163
Bartonella clarridgeiae,0.000786
Aeropyrum pernix,0.014813999999999999
Shewanella frigidimarina,0.004586
Helicobacter bizzozeronii,0.012858
Thermus oshimai,0.000642
Psychroflexus torquis,0.07297000000000001
Mycoplasma suis,0.000256
Halomicrobium mukohataei,0.0008130000000000001
Desulfotomaculum kuznetsovii,0.000516
Desulfotomaculum acetoxidans,0.000772
Desulfovibrio alaskensis,0.00063
Archaeoglobus veneficus,0.001324
Encephalitozoon intestinalis,0.009316000000000001
Streptococcus macedonicus,0.00025900000000000006
Cellulophaga algicola,0.004671000000000001
Desulfotomaculum reducens,0.001255
Alcanivorax borkumensis,0.075991
Cyanobium gracile,0.000471
Shewanella violacea,0.0062320000000000006
Shewanella amazonensis,0.0021680000000000002
Halogeometricum borinquense,0.001134
Phaeobacter gallaeciensis,0.011158000000000003
Desulfobacca acetoxidans,0.0027529999999999994
Sanguibacter keddieii,0.000522
Shewanella woodyi,0.007783
Dehalococcoides mccartyi,0.011255999999999999
Paenibacillus mucilaginosus,0.000502
Acidiphilium multivorum,0.000816
Haloterrigena turkmenica,0.0019349999999999999
Shewanella baltica,0.009791999999999999
Aquifex aeolicus,0.025639000000000002
Sodalis glossinidius,0.000732
Sideroxydans lithotrophicus,0.003058
Desulfurobacterium thermolithotrophum,0.06942099999999998
Borrelia burgdorferi group,0.0028949999999999996
Mycoplasma wenyonii,0.014332
Sulfurospirillum deleyianum,0.016784
Desulfocapsa sulfexigens,0.034995
Clostridium phytofermentans,0.000544
Methanocaldococcus infernus,0.0014359999999999998
Edwardsiella ictaluri,0.0008269999999999999
Citrobacter rodentium,0.0008280000000000001
Actinobacillus succinogenes,0.000538
Streptomyces fulvissimus,0.000475
Streptomyces violaceusniger,0.000523
Deinococcus geothermalis,0.000661
Petrotoga mobilis,0.0020039999999999997
Natrinema pellirubrum,0.0026830000000000005
Selenomonas sputigena,0.001527
Macrococcus caseolyticus,0.000408
Pyrobaculum neutrophilum,0.0010639999999999998
Shewanella oneidensis,0.009463000000000001
Shewanella pealeana,0.004196
Waddlia chondrophila,0.028674000000000005
Kocuria rhizophila,0.000921
Sporisorium reilianum,0.0012480000000000002
Thiocystis violascens,0.006642
Methanocaldococcus vulcanius,0.011523
Thermaerobacter marianensis,0.0020510000000000003
Photobacterium profundum,0.001052
Brevundimonas subvibrioides,0.001624
Maricaulis maris,0.016168999999999996
Mannheimia haemolytica,0.001624
Campylobacter hominis,0.052951
Solibacillus silvestris,0.000474
Caldivirga maquilingensis,0.0024460000000000003
Wolbachia endosymbiont of Drosophila simulans,0.017931999999999993
Mycobacterium tuberculosis complex,0.00040800000000000005
Asticcacaulis excentricus,0.002723
Desulfosporosinus meridiei,0.0009130000000000001
Chitinophaga pinensis,0.00075
Bacillus clausii,0.000575
Bacillus pseudofirmus,0.000514
Erwinia pyrifoliae,0.00082
Thioflavicoccus mobilis,0.003454
Haliangium ochraceum,0.024382
Wolbachia endosymbiont of Brugia malayi,0.006760000000000002
Delftia acidovorans,0.001105
Acidovorax avenae,0.0011430000000000001
Acidovorax citrulli,0.0013570000000000001
Treponema brennaborense,0.0009040000000000002
Hyphomonas neptunium,0.008941000000000001
Thermanaerovibrio acidaminovorans,0.007051
Aminobacterium colombiense,0.010455999999999998
Frateuria aurantia,0.001003
Picrophilus torridus,0.0047750000000000015
Serratia plymuthica,0.0008269999999999999
Methanocaldococcus fervens,0.0021800000000000005
Myxococcus stipitatus,0.0011480000000000001
Parachlamydia acanthamoebae,0.001741
Chlamydia psittaci,0.00032800000000000006
Chlamydophila caviae,0.00035099999999999997
Chlamydia pneumoniae,0.000344
Chlamydia muridarum,0.0005640000000000002
Simkania negevensis,0.0006600000000000001
Methanobrevibacter ruminantium,0.0007400000000000001
Methanocorpusculum labreanum,0.001012
Methanoculleus bourgensis,0.001653
Clostridium autoethanogenum,0.000548
Clostridium saccharolyticum,0.001084
Slackia heliotrinireducens,0.006437
Eggerthella lenta,0.0008459999999999999
Archaeoglobus profundus,0.001901
Magnetospirillum magneticum,0.0027489999999999997
Cryptobacterium curtum,0.0009880000000000002
Brachyspira intermedia,0.004325000000000001
Brachyspira murdochii,0.001735
Hippea maritima,0.12092699999999999
Taylorella asinigenitalis,0.0031169999999999995
Gordonia polyisoprenivorans,0.000506
Staphylothermus hellenicus,0.010712000000000001
Beutenbergia cavernae,0.0005510000000000001
Desulfotalea psychrophila,0.0019619999999999998
Arthrobacter chlorophenolicus,0.0008640000000000001
Candidatus Phytoplasma asteris,0.000742
16SrX (Apple proliferation group),0.000314
16SrXII (Stolbur group),0.0018240000000000003
Bacillus selenitireducens,0.000368
Achromobacter xylosoxidans,0.001823
Bartonella tribocorum,0.000477
Thermacetogenium phaeum,0.004985000000000002
Chlamydia pecorum,0.00058
Syntrophothermus lipocalidus,0.001805
Saccharophagus degradans,0.0019909999999999997
Bacillus cereus group,0.006978
Bacillus halodurans,0.000529
Burkholderia cepacia complex,0.007357000000000001
Treponema primitia,0.002238
Caulobacter segnis,0.0031499999999999996
Corynebacterium terpenotabidum,0.011734999999999999
Ruegeria pomeroyi,0.098281
Candidatus Portiera aleyrodidarum,0.006394
Ketogulonicigenium vulgare,0.002233
Fervidobacterium pennivorans,0.0007800000000000001
Ramlibacter tataouinensis,0.001378
Dyadobacter fermentans,0.0008160000000000001
Bordetella petrii,0.000907
Flavobacterium psychrophilum,0.025924000000000003
Bacteriovorax marinus,0.09260600000000002
Ferroplasma acidarmanus,0.02275
Anaerobaculum mobile,0.013068999999999997
Pyrobaculum oguniense,0.0027029999999999997
Chloroherpeton thalassium,0.0014779999999999997
Methanomethylovorans hollandica,0.0028810000000000003
Aequorivita sublithincola,0.08145399999999998
Stanieria cyanosphaera,0.000326
Desulfotomaculum gibsoniae,0.0017589999999999997
Cyanobacterium stanieri,0.000709
Streptococcus infantarius,0.000297
Saccharothrix espanaensis,0.00037400000000000004
Methylibium petroleiphilum,0.012282999999999999
canis group,0.00119
phagocytophilum group,0.000462
Cupriavidus necator,0.002973
Opitutus terrae,0.001005
Thermoanaerobacter italicus,0.00041000000000000005
Sinorhizobium medicae,0.0008280000000000001
Pelotomaculum thermopropionicum,0.001659
Mycobacterium vanbaalenii,0.0007860000000000001
Muricauda ruestringensis,0.004151
pseudomallei group,0.0056500000000000005
Sulfolobus tokodaii,0.001288
Heliothis virescens ascovirus 3a,0.0016899999999999999
Candidatus Carsonella ruddii,0.04966700000000002
spotted fever group,0.008404
typhus group,0.0006640000000000001
Methylobacterium nodulans,0.00086
Coprococcus catus,0.002062
Fusarium verticillioides,0.005177
Sphingopyxis alaskensis,0.004554000000000001
Denitrovibrio acetiphilus,0.016346
Oscillatoria acuminata,0.00037700000000000006
Arthrospira platensis,0.001353
Cupriavidus metallidurans,0.001562
Thermotoga thermarum,0.000692
Syntrophobacter fumaroxidans,0.001826
Streptococcus dysgalactiae group,0.0025009999999999998
Marinomonas mediterranea,0.0010050000000000003
Mycobacterium avium complex (MAC),0.008223000000000001
Roseiflexus castenholzii,0.002728
Pyrobaculum arsenaticum,0.002278
Carboxydothermus hydrogenoformans,0.001314
Kineococcus radiotolerans,0.0007409999999999999
Rhodococcus jostii,0.001347
Caldilinea aerophila,0.011687999999999999
Nitrosococcus halophilus,0.008650999999999999
Olsenella uli,0.000244
Ureaplasma parvum,0.00025100000000000003
Nocardia cyriacigeorgica,0.00030000000000000003
Idiomarina loihiensis,0.012852
Thermocrinis albus,0.006927000000000001
Mycoplasma haemocanis,0.00025900000000000006
Leuconostoc kimchii,0.00036
Pseudomonas aeruginosa group,0.014160999999999998
Pseudomonas fluorescens group,0.008851
Pseudomonas pertucinogena group,0.0030059999999999996
Pseudomonas putida group,0.018193
Pseudomonas stutzeri group,0.020902999999999998
Pseudomonas syringae group,0.005007
Candidatus Hamiltonella defensa,0.005899000000000001
Serratia symbiotica,0.004166
Blastococcus saxobsidens,0.001971
Helicobacter cetorum,0.010917
Isoptericola variabilis,0.000651
Candidatus Mycoplasma haemolamae,0.001045
Cylindrospermum stagnale,0.0014529999999999999
Filifactor alocis,0.00043000000000000004
Methanothermobacter thermautotrophicus,0.00041100000000000007
Methanothermobacter marburgensis,0.000413
Lactobacillus phage Lc-Nu,0.000126
Thermosynechococcus elongatus,0.000321
Halorhabdus utahensis,0.000822
Salinibacter ruber,0.0037110000000000003
Azospira oryzae,0.0014379999999999998
Thioalkalimicrobium cyclicum,0.34152899999999997
Burkholderia phymatum,0.0009960000000000001
Sulfuricurvum kujiense,0.011895
Marinitoga piezophila,0.041243
Streptococcus lutetiensis,0.000312
Treponema azotonutricium,0.003168
Pedobacter saltans,0.0007520000000000001
Chloroflexus aggregans,0.0007009999999999999
Corynebacterium efficiens,0.0009620000000000001
Cellvibrio japonicus,0.001725
Methanothermococcus okinawensis,0.007066000000000002
Caulobacter vibrioides,0.004648
Acaryochloris marina,0.0004290000000000001
Mannheimia succiniciproducens,0.000711
Chromohalobacter salexigens,0.001252
Hahella chejuensis,0.000691
Megamonas hypermegale,0.0006479999999999999
Collimonas fungivorans,0.0010299999999999999
Paenibacillus terrae,0.000489
Nanoarchaeum equitans,0.008415
Ignicoccus hospitalis,0.03959499999999999
Sphingomonas wittichii,0.013012
Acidithiobacillus ferrivorans,0.010486
Anaeromyxobacter dehalogenans,0.001142
Corynebacterium kroppenstedtii,0.000631
Vulcanisaeta distributa,0.0015760000000000001
Blattabacterium punctulatus,0.005868999999999999
Cupriavidus taiwanensis,0.00117
Weissella koreensis,0.00035800000000000003
Roseburia intestinalis,0.000978
Thermobaculum terrenum,0.0019159999999999997
Ilyobacter polytropus,0.001763
Anaerolinea thermophila,0.002426
uncultured Termite group 1 bacterium,0.056271999999999996
Laribacter hongkongensis,0.0008460000000000001
Salinispora tropica,0.00046699999999999997
Salinispora arenicola,0.001973
Corynebacterium aurimucosum,0.0009910000000000001
Clostridium saccharobutylicum,0.00040500000000000003
Mycoplasma cynos,0.0035529999999999997
Tistrella mobilis,0.0010880000000000002
Thermodesulfatator indicus,0.047457
Thermococcus sibiricus,0.003821
Gemmatimonas aurantiaca,0.002055
Thermotoga lettingae,0.001271
Alicycliphilus denitrificans,0.0024289999999999997
Pyrobaculum calidifontis,0.0026410000000000006
Desulfococcus oleovorans,0.060872
Desulfovibrio aespoeensis,0.0013289999999999999
Erwinia billingiae,0.000835
Kribbella flavida,0.000495
Oceanobacillus iheyensis,0.0006619999999999999
Thermodesulfobium narugense,0.027782
Thermoproteus uzoniensis,0.0011649999999999998
Corallococcus coralloides,0.000796
Desulfovibrio magneticus,0.0006720000000000001
Paludibacter propionicigenes,0.0009039999999999999
Xylanimonas cellulosilytica,0.000487
Marinithermus hydrothermalis,0.002468
Candidatus Baumannia cicadellinicola,0.0018930000000000002
Thioalkalivibrio nitratireducens,0.06332
Oceanithermus profundus,0.003487
Acidaminococcus intestini,0.000954
Pediococcus claussenii,0.000322
Thalassolituus oleivorans,0.014344
Thermococcus gammatolerans,0.010277000000000001
Desulfovibrio hydrothermalis,0.0028450000000000007
Conexibacter woesei,0.003278
Fluviicola taffensis,0.05701900000000001
Shewanella denitrificans,0.004055999999999999
Albidiferax ferrireducens,0.001114
Streptococcus oligofermentans,0.000302
Deferribacter desulfuricans,0.009803000000000003
Streptococcus pasteurianus,0.000279
Candidatus Pelagibacter ubique,0.322585
Methylocella silvestris,0.0013059999999999999
Caldisphaera lagunensis,0.050700000000000016
Sulfurimonas autotrophica,0.248924
Dickeya dadantii,0.0022649999999999997
Dickeya zeae,0.0007920000000000001
Parvularcula bermudensis,0.0018129999999999995
Alkaliphilus metalliredigens,0.00033
Candidatus Mycoplasma haemominutum,0.000514
Alistipes finegoldii,0.002403
Treponema caldaria,0.0010009999999999997
Dinoroseobacter shibae,0.003074000000000001
Polaromonas naphthalenivorans,0.0015459999999999998
Bifidobacterium longum,0.005536
Spiroplasma chrysopicola,0.000616
Spiroplasma diminutum,0.0005710000000000001
Spiroplasma syrphidicola,0.000537
Methylobacterium populi,0.000747
Geobacter bemidjiensis,0.0006979999999999999
Corynebacterium halotolerans,0.0006680000000000001
Thermovibrio ammonificans,0.126516
Desulfurococcus fermentans,0.001722
Aeropyrum camini,0.025273999999999998
Belliella baltica,0.03700100000000001
Desulfitobacterium dichloroeliminans,0.00043899999999999994
Candidatus Midichloria mitochondrii,0.0035539999999999994
Akkermansia muciniphila,0.014027999999999995
Pseudonocardia dioxanivorans,0.006477999999999999
Crinalium epipsammum,0.00058
Ostreococcus 'lucimarinus',0.0017579999999999998
Acidilobus saccharovorans,0.0017550000000000003
Nautilia profundicola,0.870022
Cupriavidus pinatubonensis,0.001376
Cardinium endosymbiont of Encarsia pergandiella,0.057498
Candidatus Blochmannia vafer,0.003314
Candidatus Blochmannia chromaiodes,0.004456
Robiginitalea biformata,0.02679
Mahella australiensis,0.0013139999999999998
Burkholderia phenoliruptrix,0.00113
Ethanoligenens harbinense,0.000334
Owenweeksia hongkongensis,0.023549000000000004
Parvibaculum lavamentivorans,0.029418000000000003
Arthrobacter arilaitensis,0.0019629999999999995
Streptococcus pseudopneumoniae,0.000264
Corynebacterium resistens,0.0006509999999999999
Desulfatibacillum alkenivorans,0.0015739999999999999
Dechloromonas aromatica,0.0015580000000000001
Burkholderia phytofirmans,0.001215
Leptospirillum sp. Group III,0.003239
Mycobacterium liflandii,0.000438
Kangiella koreensis,0.10294900000000001
Wolbachia endosymbiont of Culex quinquefasciatus,0.0006039999999999999
Rhodopirellula baltica,0.12788100000000002
Methylovorus glucosotrophus,0.0019370000000000001
Lactobacillus kefiranofaciens,0.00039400000000000004
Nitratifractor salsuginis,0.34146999999999994
Methylomicrobium alcaliphilum,0.010099
Shewanella sediminis,0.0011790000000000001
Shewanella halifaxensis,0.0033770000000000007
Nostoc punctiforme,0.0010270000000000001
Sphaerochaeta coccoides,0.0016490000000000003
Chlorobaculum parvum,0.001023
Candidatus Amoebophilus asiaticus,0.03191700000000001
Staphylococcus pseudintermedius,0.0006940000000000001
Stackebrandtia nassauensis,0.00045
Phenylobacterium zucineum,0.0027819999999999998
Alcanivorax dieselolei,0.019114999999999997
Segniliparus rotundus,0.000545
Clostridium clariflavum,0.000616
Bacteroides helcogenes,0.0028660000000000005
Thermosediminibacter oceani,0.000516
Dactylococcopsis salina,0.00225
Haloquadratum walsbyi,0.007886000000000002
Glaciecola nitratireducens,0.015829999999999997
Roseburia hominis,0.000687
Methanosaeta harundinacea,0.0008280000000000001
Catenulispora acidiphila,0.00064
Persephonella marina,0.018278
Sulfurihydrogenibium azorense,0.053367
Deinococcus maricopensis,0.000457
Advenella kashmirensis,0.0034929999999999996
Deinococcus deserti,0.000616
Thermococcus kodakarensis,0.019713000000000005
Flavobacterium indicum,0.024244000000000005
Emticicia oligotrophica,0.032149
Pseudomonas entomophila,0.001924
Croceibacter atlanticus,0.04956500000000001
Geobacter lovleyi,0.002297
Pseudoxanthomonas suwonensis,0.0019590000000000002
Streptococcus gallolyticus,0.000267
Leadbetterella byssophila,0.000955
Syntrophus aciditrophicus,0.007644
Magnaporthe oryzae,0.0017250000000000002
Bacillus infantis,0.000547
Glaciecola psychrophila,0.021858000000000002
Candidatus Accumulibacter phosphatis,0.011647999999999999
Desulfotomaculum carboxydivorans,0.000417
Nonlabens dokdonensis,0.02754
Alistipes shahii,0.00263
Psychrobacter cryohalolentis,0.010431000000000001
Sphingobium japonicum,0.006731
Candidatus Solibacter usitatus,0.032799999999999996
Truepera radiovictrix,0.000744
Exiguobacterium sibiricum,0.000398
Psychrobacter arcticus,0.067872
Ignisphaera aggregans,0.0008290000000000002
Thermovirga lienii,0.007008999999999999
Candidatus Sulcia muelleri,0.011014000000000001
Chlorobium chlorochromatii,0.104673
Nitrosopumilus maritimus,0.12311400000000003
Erwinia tasmaniensis,0.00076
Thermococcus onnurineus,0.008379000000000001
Streptomyces davawensis,0.000514
Enterobacteria phage T4 sensu lato,0.000108
Micavibrio aeruginosavorus,0.003936
Alkalilimnicola ehrlichii,0.003449999999999999
Oscillibacter valericigenes,0.0011500000000000002
Geobacter uraniireducens,0.022181
Enterobacter cloacae complex,0.004847
Niastella koreensis,0.0007650000000000001
Psychromonas ingrahamii,0.001513
Methanoregula boonei,0.000324
Shewanella loihica,0.0018380000000000002
Methylotenera mobilis,0.003397
Arthrobacter phenanthrenivorans,0.0006500000000000001
Candidatus Protochlamydia amoebophila,0.0017599999999999998
Verminephrobacter eiseniae,0.055949
Granulibacter bethesdensis,0.0007740000000000001
Xanthomonas alfalfae,0.0011029999999999998
Blattabacterium sp. (Blatta orientalis),0.0056819999999999996
Gallionella capsiferriformans,0.003606
Bacteroides xylanisolvens,0.004056000000000001
Enterobacteria phage 933W sensu lato,6.8e-05
Natranaerobius thermophilus,0.001043
Bacteroides salanitronis,0.0038
Thermobacillus composti,0.000606
Cyanobacterium aponinum,0.000408
Streptomyces bingchenggensis,0.0005909999999999999
Aciduliprofundum boonei,0.012122
Enterobacteria phage JS,0.000143
Paramecium bursaria Chlorella virus A1,5.2e-05
Staphylococcus phage 53 sensu lato,0.000273
Candidatus Ruthia magnifica,2.4438980000000003
Halovivax ruber,0.007555000000000003
Halopiger xanaduensis,0.0014920000000000003
Bartonella australis,0.000582
Echinicola vietnamensis,0.0007289999999999999
Terriglobus roseus,0.0012980000000000001
Coraliomargarita akajimensis,0.08560900000000002
Zunongwangia profunda,0.000959
Candidatus Riesia pediculicola,0.002639
Shewanella piezotolerans,0.002334
Alicyclobacillus acidocaldarius,0.0009630000000000001
Treponema pedis,0.00541
Calyptogena okutanii thioautotrophic gill symbiont,1.2097040000000001
Gramella forsetii,0.009403000000000002
Burkholderia rhizoxinica,0.0009869999999999998
Halalkalicoccus jeotgali,0.025056000000000005
Caldicellulosiruptor hydrothermalis,0.00043000000000000004
Caldicellulosiruptor kronotskyensis,0.000454
Pseudoxanthomonas spadix,0.002123
Natronomonas moolapensis,0.0006929999999999999
Methanolobus psychrophilus,0.001069
Elusimicrobium minutum,0.0015019999999999999
Desulfurivibrio alkaliphilus,0.019355
Halorhabdus tiamatea,0.000905
Deinococcus peraridilitoris,0.0020369999999999997
Adlercreutzia equolifaciens,0.011250999999999995
Simiduia agarivorans,0.012287000000000001
Desulfarculus baarsii,0.000678
Bdellovibrio exovorus,0.018671000000000007
Chthonomonas calidirosea,0.022683
Xanthomonas euvesicatoria,0.001417
Candidatus Cloacamonas acidaminovorans,0.333931
Candidatus Chloracidobacterium thermophilum,0.001215
Alkaliphilus oremlandii,0.000592
Singulisphaera acidiphila,0.022103
Ilumatobacter coccineus,0.162952
Pantoea vagans,0.000884
Gordonibacter pamelaeae,0.000811
Candidatus Desulforudis audaxviator,0.0016020000000000001
Nitrosococcus watsonii,0.017151000000000003
Methanosphaerula palustris,0.00047700000000000005
Desulfurococcus kamchatkensis,0.0019429999999999998
Calditerrivibrio nitroreducens,0.186715
Oscillatoria nigro-viridis,0.000751
Thermoanaerobacter pseudethanolicus,0.00042
Candidatus Nitrososphaera gargensis,0.06495700000000003
Candidatus Korarchaeum cryptofilum,0.002833
Tepidanaerobacter acetatoxydans,0.00042
Deinococcus gobiensis,0.0005220000000000001
Candidatus Azobacteroides pseudotrichonymphae,0.041976
Methylacidiphilum infernorum,0.007524
Dictyoglomus turgidum,0.0010109999999999997
Pelagibacterium halotolerans,0.000584
Phycisphaera mikurensis,0.015637
Aromatoleum aromaticum,0.064913
Cryptococcus gattii,0.004263
Dehalogenimonas lykanthroporepellens,0.05188099999999999
Candidatus Liberibacter solanacearum,0.001548
Acidianus hospitalis,0.0009420000000000001
Methanocella paludicola,0.000525
Candidatus Hodgkinia cicadicola,0.023333
Corynebacterium maris,0.0007410000000000001
Polynucleobacter necessarius,0.252102
Methylobacterium extorquens group,0.0030989999999999998
Thermoanaerobacter mathranii,0.000366
Ignavibacterium album,0.04765300000000001
Mesorhizobium opportunistum,0.00066
Blattabacterium sp. (Blattella germanica),0.0076
Streptomyces griseus group,0.00044699999999999997
Amycolicicoccus subflavus,0.000569
Xanthomonas citri group,0.001544
Sulfuricella denitrificans,0.017613
Fibrella aestuarina,0.000996
Kosmotoga olearia,0.013460999999999999
Prevotella sp. oral taxon 299,0.000724
Bacillus subtilis group,0.004717
Lactobacillus casei group,0.001064
Leptospirillum sp. Group I,0.003444
Mycoplasma mycoides group,0.038012000000000004
Francisella noatunensis,0.0023469999999999997
Candidatus Koribacter versatilis,0.0017700000000000003
Mycobacterium chelonae group,0.00125
Candidatus Uzinura diaspidicola,0.007648
Streptococcus anginosus group,0.001391
Fervidicoccus fontis,0.0031810000000000002
Caldisericum exile,0.0011259999999999998
Clostridiales genomosp. BVAB3,0.0026309999999999997
Caldicellulosiruptor obsidiansis,0.00055
Vibrio harveyi group,0.015733999999999998
Acidovorax ebreus,0.001146
Aspergillus fumigatus,0.001655
Candidatus Puniceispirillum marinum,0.5907899999999999
Thermincola potens,0.000413
Terriglobus saanensis,0.000983
Desulfovibrio piezophilus,0.001111
Methanoregula formicica,0.0034890000000000003
Candidatus Zinderia insecticola,0.009867999999999997
Desulfosporosinus acidiphilus,0.000418
Acinetobacter calcoaceticus/baumannii complex,0.07734000000000003
Caldanaerobacter subterraneus,0.000524
Desulfurispirillum indicum,0.000994
Marinomonas posidonica,0.0014680000000000001
Granulicella mallensis,0.0009419999999999999
Granulicella tundricola,0.001975
Mycoplasma parvum,0.002523
Vulcanisaeta moutnovskia,0.0018150000000000004
Polymorphum gilvum,0.004894
Candidatus Kinetoplastibacterium oncopeltii,0.025802999999999996
Verrucosispora maris,0.000454
Metallosphaera cuprina,0.008276999999999998
Pyrococcus yayanosii,0.010033
Marinobacter adhaerens,0.013298
Thioalkalivibrio sulfidophilus,0.005522
Zymoseptoria tritici,0.002526
Candidatus Moranella endobia,0.005299
Methylotenera versatilis,0.002861
Candidatus Nitrosoarchaeum koreensis,0.767459
Magnetococcus marinus,0.011512
belli group,0.001573
Sphaerochaeta globosa,0.00085
Sphaerochaeta pleomorpha,0.0011330000000000001
Melioribacter roseus,0.096647
Acinetobacter oleivorans,0.03856600000000001
Candidatus Nasuia deltocephalinicola,0.00958
Ruminococcus champanellensis,0.001745
Chamaesiphon minutus,0.00044899999999999996
Methanocella conradii,0.000485
Methanocella arvoryzae,0.000404
Agrobacterium tumefaciens complex,0.0014749999999999997
Mesotoga prima,0.001509
Thermogladius cellulolyticus,0.012359
Geobacter daltonii,0.0016
Octadecabacter antarcticus,0.082341
Candidatus Endolissoclinum faulkneri,0.04316599999999999
Liberibacter crescens,0.0013629999999999998
Candidatus Methanomethylophilus alvus,0.041454
Thermodesulfobacterium geofontis,0.0049099999999999994
Archaeoglobus sulfaticallidus,0.043141
Cycloclasticus zancles,0.196092
Spiribacter salinus,0.046527000000000006
Candidatus Methanomassiliicoccus intestinalis,0.000609
Gloeobacter kilaueensis,0.0007250000000000001
Unknown Yatapoxvirus,8.0e-06
Unknown Suipoxvirus,1.4e-05
Unknown Leporipoxvirus,2.3e-05
Unknown Parapoxvirus,2.4e-05
Molluscum contagiosum virus,3.9e-05
Tanapox virus,8.0e-06
Unknown Mastadenovirus,9.0e-06
VIRALSTROMATOLITE_SMPL_SRX000209_RMSTROMCCMEXVIR072205,0.126575
Mammalian orthoreovirus,0.0
Betacoronavirus 1,2.0e-06
